Condition;Label;mean;std;count
grayscale;deur;0.8186;0.3293;444
grayscale;raam;0.8543;0.2871;1734
grayscale;zonnepaneel;0.7304;0.3993;102
original;deur;0.6086;0.1788;444
original;raam;0.5515;0.1719;1734
original;zonnepaneel;0.7031;0.1736;102
resized;deur;0.7266;0.3556;444
resized;raam;0.6512;0.3812;1734
resized;zonnepaneel;0.4561;0.4296;102
not_occluded;deur;0.6637;0.1684;192
not_occluded;raam;0.5772;0.1768;738
not_occluded;zonnepaneel;0.6882;0.1636;36
occluded;deur;0.5664;0.1752;252
occluded;raam;0.5313;0.1648;994
occluded;zonnepaneel;0.7023;0.1856;67
