Condition,File,Label,IoU
original,image_10.jpg,Raam,0.4485
original,image_10.jpg,Raam,0.5822
original,image_10.jpg,Zonnepaneel,0.8537
original,image_10.jpg,Raam,0.5233
original,image_103.jpg,Raam,0.7358
original,image_103.jpg,Raam,0.5735
original,image_103.jpg,Deur,0.736
original,image_103.jpg,Raam,0.4232
original,image_103.jpg,Raam,0.3441
original,image_103.jpg,Raam,0.7409
original,image_103.jpg,Raam,0.6185
original,image_103.jpg,Raam,0.7577
original,image_103.jpg,Deur,0.7685
original,image_103.jpg,Raam,0.6065
original,image_103.jpg,Raam,0.5488
original,image_103.jpg,Raam,0.8882
original,image_103.jpg,Raam,0.6022
original,image_103.jpg,Raam,0.7677
original,image_104.jpg,Deur,0.546
original,image_104.jpg,Deur,0.3161
original,image_104.jpg,Deur,0.5616
original,image_104.jpg,Raam,0.8814
original,image_104.jpg,Raam,0.3428
original,image_104.jpg,Raam,0.8725
original,image_105.jpg,Deur,0.9237
original,image_105.jpg,Raam,0.7007
original,image_105.jpg,Raam,0.8497
original,image_107.jpg,Deur,0.8594
original,image_107.jpg,Raam,0.7045
original,image_107.jpg,Raam,0.7639
original,image_107.jpg,Raam,0.7894
original,image_109.jpg,Raam,0.3721
original,image_109.jpg,Deur,0.4368
original,image_109.jpg,Raam,0.9261
original,image_109.jpg,Deur,0.4836
original,image_109.jpg,Deur,0.6099
original,image_109.jpg,Deur,0.8991
original,image_110.jpg,Raam,0.3049
original,image_110.jpg,Raam,0.3825
original,image_110.jpg,Raam,0.3917
original,image_110.jpg,Raam,0.4902
original,image_110.jpg,Raam,0.3533
original,image_110.jpg,Raam,0.3644
original,image_110.jpg,Raam,0.3466
original,image_110.jpg,Raam,0.5953
original,image_110.jpg,Raam,0.8905
original,image_110.jpg,Raam,0.5029
original,image_110.jpg,Raam,0.5198
original,image_110.jpg,Raam,0.3347
original,image_110.jpg,Deur,0.8863
original,image_110.jpg,Raam,0.7202
original,image_111.jpg,Raam,0.3157
original,image_111.jpg,Raam,0.9486
original,image_111.jpg,Raam,0.8606
original,image_111.jpg,Raam,0.9431
original,image_111.jpg,Raam,0.3875
original,image_111.jpg,Deur,0.9087
original,image_111.jpg,Raam,0.8704
original,image_111.jpg,Raam,0.9142
original,image_111.jpg,Raam,0.8495
original,image_111.jpg,Raam,0.8324
original,image_112.jpg,Raam,0.3952
original,image_112.jpg,Raam,0.3095
original,image_112.jpg,Raam,0.8952
original,image_112.jpg,Deur,0.9092
original,image_112.jpg,Raam,0.4229
original,image_113.jpg,Raam,0.9512
original,image_113.jpg,Raam,0.9047
original,image_113.jpg,Deur,0.8394
original,image_113.jpg,Raam,0.5251
original,image_113.jpg,Raam,0.9632
original,image_113.jpg,Raam,0.8117
original,image_113.jpg,Raam,0.8593
original,image_113.jpg,Raam,0.9446
original,image_114.jpg,Raam,0.5154
original,image_114.jpg,Deur,0.8736
original,image_114.jpg,Raam,0.3558
original,image_114.jpg,Deur,0.8499
original,image_114.jpg,Raam,0.37
original,image_114.jpg,Raam,0.3641
original,image_114.jpg,Raam,0.383
original,image_114.jpg,Raam,0.3662
original,image_114.jpg,Raam,0.762
original,image_114.jpg,Raam,0.5445
original,image_123.jpg,Raam,0.6318
original,image_123.jpg,Deur,0.7154
original,image_123.jpg,Zonnepaneel,0.4341
original,image_123.jpg,Raam,0.8513
original,image_123.jpg,Raam,0.8289
original,image_123.jpg,Raam,0.764
original,image_123.jpg,Deur,0.4051
original,image_124.jpg,Raam,0.5322
original,image_124.jpg,Raam,0.4491
original,image_124.jpg,Raam,0.7043
original,image_124.jpg,Deur,0.7977
original,image_124.jpg,Raam,0.8596
original,image_124.jpg,Raam,0.8301
original,image_124.jpg,Raam,0.3256
original,image_124.jpg,Raam,0.7491
original,image_124.jpg,Deur,0.61
original,image_126.jpg,Deur,0.8575
original,image_126.jpg,Raam,0.6694
original,image_126.jpg,Raam,0.8183
original,image_126.jpg,Raam,0.7943
original,image_126.jpg,Raam,0.7911
original,image_126.jpg,Raam,0.7038
original,image_126.jpg,Raam,0.8011
original,image_126.jpg,Raam,0.6021
original,image_126.jpg,Raam,0.752
original,image_126.jpg,Raam,0.918
original,image_126.jpg,Raam,0.5784
original,image_126.jpg,Zonnepaneel,0.8474
original,image_126.jpg,Zonnepaneel,0.8124
original,image_126.jpg,Raam,0.7664
original,image_126.jpg,Raam,0.8686
original,image_126.jpg,Raam,0.8111
original,image_126.jpg,Raam,0.7275
original,image_126.jpg,Deur,0.6754
original,image_129.jpg,Raam,0.8476
original,image_129.jpg,Raam,0.8113
original,image_129.jpg,Raam,0.8726
original,image_129.jpg,Raam,0.3821
original,image_13.jpg,Raam,0.8484
original,image_13.jpg,Raam,0.3519
original,image_13.jpg,Raam,0.7458
original,image_130.jpg,Deur,0.9038
original,image_130.jpg,Raam,0.851
original,image_130.jpg,Deur,0.386
original,image_130.jpg,Raam,0.5014
original,image_130.jpg,Raam,0.3247
original,image_131.jpg,Raam,0.6755
original,image_131.jpg,Raam,0.5505
original,image_131.jpg,Deur,0.5012
original,image_131.jpg,Deur,0.684
original,image_131.jpg,Raam,0.3423
original,image_131.jpg,Deur,0.621
original,image_131.jpg,Raam,0.3599
original,image_131.jpg,Raam,0.6171
original,image_131.jpg,Raam,0.6444
original,image_131.jpg,Raam,0.4868
original,image_131.jpg,Raam,0.3992
original,image_132.jpg,Deur,0.4064
original,image_132.jpg,Deur,0.3707
original,image_132.jpg,Deur,0.3559
original,image_132.jpg,Deur,0.3245
original,image_133.jpg,Raam,0.5065
original,image_133.jpg,Raam,0.3006
original,image_133.jpg,Raam,0.5563
original,image_133.jpg,Deur,0.3826
original,image_133.jpg,Deur,0.3164
original,image_133.jpg,Raam,0.3862
original,image_133.jpg,Raam,0.3025
original,image_135.jpg,Deur,0.5393
original,image_135.jpg,Raam,0.6197
original,image_135.jpg,Raam,0.6539
original,image_135.jpg,Raam,0.8201
original,image_136.jpg,Raam,0.3267
original,image_136.jpg,Raam,0.502
original,image_136.jpg,Raam,0.4065
original,image_136.jpg,Deur,0.3794
original,image_136.jpg,Deur,0.494
original,image_136.jpg,Raam,0.3929
original,image_136.jpg,Raam,0.552
original,image_137.jpg,Raam,0.3632
original,image_137.jpg,Raam,0.3713
original,image_137.jpg,Raam,0.4734
original,image_137.jpg,Raam,0.5886
original,image_138.jpg,Raam,0.4362
original,image_138.jpg,Raam,0.521
original,image_138.jpg,Raam,0.4461
original,image_138.jpg,Deur,0.5425
original,image_138.jpg,Raam,0.5915
original,image_138.jpg,Raam,0.7477
original,image_138.jpg,Raam,0.317
original,image_138.jpg,Raam,0.6607
original,image_138.jpg,Raam,0.758
original,image_139.jpg,Raam,0.4238
original,image_139.jpg,Raam,0.357
original,image_139.jpg,Raam,0.4132
original,image_139.jpg,Raam,0.4931
original,image_139.jpg,Raam,0.3791
original,image_139.jpg,Raam,0.5107
original,image_139.jpg,Raam,0.5756
original,image_139.jpg,Deur,0.4433
original,image_139.jpg,Deur,0.5588
original,image_139.jpg,Raam,0.348
original,image_139.jpg,Deur,0.4033
original,image_139.jpg,Raam,0.3325
original,image_14.jpg,Deur,0.8317
original,image_14.jpg,Deur,0.8717
original,image_14.jpg,Raam,0.7374
original,image_141.jpg,Raam,0.4634
original,image_141.jpg,Deur,0.4182
original,image_141.jpg,Raam,0.4451
original,image_141.jpg,Zonnepaneel,0.4213
original,image_146.jpg,Raam,0.4927
original,image_146.jpg,Deur,0.4513
original,image_146.jpg,Raam,0.3382
original,image_146.jpg,Raam,0.4924
original,image_146.jpg,Raam,0.4317
original,image_146.jpg,Raam,0.3099
original,image_146.jpg,Raam,0.556
original,image_146.jpg,Raam,0.5663
original,image_146.jpg,Raam,0.3283
original,image_146.jpg,Raam,0.5578
original,image_146.jpg,Raam,0.5706
original,image_147.jpg,Raam,0.3705
original,image_147.jpg,Raam,0.6424
original,image_147.jpg,Raam,0.3409
original,image_147.jpg,Zonnepaneel,0.3367
original,image_147.jpg,Zonnepaneel,0.6741
original,image_147.jpg,Zonnepaneel,0.6844
original,image_148.jpg,Raam,0.3154
original,image_148.jpg,Deur,0.4864
original,image_148.jpg,Raam,0.7386
original,image_148.jpg,Raam,0.5184
original,image_148.jpg,Deur,0.6145
original,image_148.jpg,Raam,0.4389
original,image_148.jpg,Deur,0.5327
original,image_148.jpg,Raam,0.5273
original,image_148.jpg,Raam,0.6686
original,image_148.jpg,Deur,0.7717
original,image_148.jpg,Deur,0.6942
original,image_15.jpg,Zonnepaneel,0.9276
original,image_15.jpg,Deur,0.7614
original,image_15.jpg,Raam,0.7986
original,image_15.jpg,Deur,0.4416
original,image_151.jpg,Raam,0.3921
original,image_156.jpg,Raam,0.6144
original,image_156.jpg,Raam,0.4706
original,image_156.jpg,Raam,0.3871
original,image_156.jpg,Raam,0.3734
original,image_157.jpg,Deur,0.6027
original,image_157.jpg,Deur,0.5535
original,image_157.jpg,Raam,0.4445
original,image_157.jpg,Raam,0.6725
original,image_157.jpg,Raam,0.5415
original,image_157.jpg,Raam,0.6251
original,image_157.jpg,Deur,0.6069
original,image_157.jpg,Deur,0.3721
original,image_157.jpg,Raam,0.3115
original,image_157.jpg,Raam,0.3769
original,image_157.jpg,Raam,0.5172
original,image_157.jpg,Raam,0.7485
original,image_157.jpg,Raam,0.6202
original,image_157.jpg,Raam,0.3458
original,image_158.jpg,Raam,0.3867
original,image_158.jpg,Raam,0.4772
original,image_158.jpg,Raam,0.5246
original,image_158.jpg,Raam,0.4827
original,image_158.jpg,Raam,0.3249
original,image_158.jpg,Raam,0.3589
original,image_158.jpg,Raam,0.3004
original,image_158.jpg,Raam,0.3075
original,image_158.jpg,Raam,0.5645
original,image_159.jpg,Deur,0.6381
original,image_159.jpg,Raam,0.6146
original,image_159.jpg,Raam,0.7051
original,image_159.jpg,Deur,0.5406
original,image_159.jpg,Raam,0.389
original,image_159.jpg,Raam,0.3853
original,image_159.jpg,Raam,0.3143
original,image_159.jpg,Raam,0.3161
original,image_159.jpg,Deur,0.4941
original,image_160.jpg,Raam,0.4981
original,image_160.jpg,Raam,0.3987
original,image_160.jpg,Raam,0.7423
original,image_160.jpg,Zonnepaneel,0.8025
original,image_160.jpg,Raam,0.4272
original,image_160.jpg,Raam,0.3065
original,image_160.jpg,Raam,0.3883
original,image_160.jpg,Raam,0.3857
original,image_160.jpg,Raam,0.4401
original,image_160.jpg,Raam,0.4862
original,image_160.jpg,Raam,0.4894
original,image_160.jpg,Raam,0.3736
original,image_160.jpg,Deur,0.3425
original,image_161.jpg,Raam,0.4808
original,image_161.jpg,Raam,0.3534
original,image_161.jpg,Raam,0.3003
original,image_161.jpg,Deur,0.5977
original,image_161.jpg,Deur,0.3051
original,image_161.jpg,Raam,0.7245
original,image_162.jpg,Raam,0.4977
original,image_162.jpg,Raam,0.4209
original,image_162.jpg,Raam,0.341
original,image_162.jpg,Raam,0.4627
original,image_165.jpg,Raam,0.52
original,image_165.jpg,Raam,0.5354
original,image_165.jpg,Deur,0.3935
original,image_165.jpg,Raam,0.3741
original,image_165.jpg,Raam,0.5368
original,image_165.jpg,Deur,0.8265
original,image_169.jpg,Raam,0.4872
original,image_169.jpg,Deur,0.4918
original,image_17.jpg,Raam,0.8182
original,image_17.jpg,Raam,0.5858
original,image_17.jpg,Raam,0.6921
original,image_17.jpg,Raam,0.9451
original,image_17.jpg,Raam,0.8769
original,image_17.jpg,Raam,0.3857
original,image_17.jpg,Raam,0.4609
original,image_17.jpg,Raam,0.523
original,image_17.jpg,Raam,0.4492
original,image_171.jpg,Raam,0.4098
original,image_171.jpg,Deur,0.4983
original,image_171.jpg,Zonnepaneel,0.6803
original,image_171.jpg,Raam,0.5654
original,image_171.jpg,Raam,0.5631
original,image_171.jpg,Raam,0.5225
original,image_171.jpg,Raam,0.4239
original,image_172.jpg,Raam,0.4788
original,image_172.jpg,Raam,0.4551
original,image_172.jpg,Raam,0.3675
original,image_172.jpg,Deur,0.517
original,image_174.jpg,Raam,0.4615
original,image_174.jpg,Raam,0.4383
original,image_174.jpg,Raam,0.4076
original,image_174.jpg,Deur,0.499
original,image_174.jpg,Raam,0.4971
original,image_174.jpg,Raam,0.4172
original,image_175.jpg,Raam,0.3152
original,image_175.jpg,Raam,0.3252
original,image_175.jpg,Raam,0.4499
original,image_175.jpg,Deur,0.3417
original,image_175.jpg,Deur,0.3903
original,image_176.jpg,Raam,0.5022
original,image_176.jpg,Raam,0.557
original,image_176.jpg,Raam,0.6062
original,image_176.jpg,Raam,0.5784
original,image_176.jpg,Deur,0.4948
original,image_176.jpg,Raam,0.5097
original,image_176.jpg,Raam,0.6609
original,image_176.jpg,Deur,0.3403
original,image_176.jpg,Raam,0.6494
original,image_176.jpg,Raam,0.3902
original,image_176.jpg,Raam,0.5759
original,image_176.jpg,Deur,0.5894
original,image_177.jpg,Raam,0.465
original,image_177.jpg,Deur,0.5144
original,image_177.jpg,Raam,0.4906
original,image_179.jpg,Raam,0.5183
original,image_179.jpg,Raam,0.4611
original,image_179.jpg,Raam,0.3685
original,image_179.jpg,Raam,0.4607
original,image_179.jpg,Raam,0.4314
original,image_18.jpg,Raam,0.351
original,image_18.jpg,Raam,0.3642
original,image_18.jpg,Raam,0.3865
original,image_18.jpg,Raam,0.6383
original,image_18.jpg,Raam,0.3098
original,image_18.jpg,Raam,0.7782
original,image_18.jpg,Raam,0.766
original,image_18.jpg,Raam,0.4764
original,image_18.jpg,Raam,0.5915
original,image_180.jpg,Raam,0.3115
original,image_180.jpg,Zonnepaneel,0.8578
original,image_180.jpg,Raam,0.6817
