model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
fastsam_x,resized,image_329.jpg,image_329.json,deur,0,0.7467720685111989,0.8550309247246946,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,deur,1,0.6950287502729456,0.8200790106492615,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,2,0.7209491305054445,0.8378505996789121,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,3,0.6913394513815756,0.8175052628457912,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,4,0.7251165735996776,0.8406580571962492,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,5,0.6359662816109897,0.7774809160305344,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,6,0.6168110655114759,0.7629970856444486,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,7,0.5040408336877924,0.6702488687782805,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,8,0.5236756756756756,0.6873847027103732,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,9,0.5142697257974258,0.6792313377679231,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,10,0.4775623268698061,0.6464191976003,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,11,0.41141897565071367,0.5829863176680548,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
fastsam_x,resized,image_329.jpg,image_329.json,raam,12,0.5154185022026432,0.6802325581395349,13,13,0,86,17,1.025970697402954,0.5983361047136433,0.7429311414949508,,best
