model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
sam2_small,original,image_33.jpg,image_33.json,raam,0,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,1,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,2,0.3475896531452087,0.5158686879703348,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,deur,3,0.880601019586799,0.9365102011699243,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,4,0.7787399870101753,0.8756085686465434,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,5,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,6,0.900797373358349,0.9478099938309685,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,7,0.3354244014850851,0.5023487680951011,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,8,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,9,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,10,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,11,0.8552529182879377,0.9219798657718121,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,12,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,13,0.8414348462664715,0.9138904349208873,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,14,0.8569667077681874,0.9229747675962815,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,raam,15,0.8266783677051338,0.9051165025222195,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,deur,16,0.0,0.0,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
sam2_small,original,image_33.jpg,image_33.json,deur,17,0.5831265508684863,0.7366771159874608,18,10,8,63,10,2.6060307025909424,0.40036732363787964,0.4543769392506408,128,best
