model,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used
sam_vit_l,image_99.jpg,image_99.json,raam,0,0.6059693249993724,0.7546462009784767,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,zonnepaneel,1,0.0,0.0,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,2,0.8827545844713227,0.9377266604496943,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,3,0.8606668088433923,0.9251165278520669,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,4,0.8947763434404082,0.9444664501307137,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,5,0.3582896461336828,0.5275600048245085,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,6,0.6520988938262268,0.7894187161108488,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,7,0.9335086082605377,0.9656110185103957,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,8,0.8960424850865706,0.9451713156582128,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,9,0.7128416133292695,0.8323497138112044,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,raam,10,0.7015550239234449,0.8246045694200351,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
sam_vit_l,image_99.jpg,image_99.json,deur,11,0.45501212402620855,0.6254410070029253,12,86,19,5.889724969863892,0.6627929546950363,0.7560093487290902,128
