model_1,model_2,n_common,mean_iou_model_1,mean_iou_model_2,p_value,significant
fastsam_s,sam2_base_plus,4648,0.5772965324185215,0.29567284863590637,0.0,True
fastsam_s,sam2_large,4648,0.5772965324185215,0.3017867812546632,0.0,True
fastsam_s,sam2_small,4648,0.5772965324185215,0.26952327171599527,0.0,True
fastsam_s,sam_vit_b,4648,0.5772965324185215,0.406801996983048,0.0,True
fastsam_x,sam2_base_plus,4648,0.5862198068953922,0.29567284863590637,0.0,True
fastsam_x,sam_vit_b,4648,0.5862198068953922,0.406801996983048,0.0,True
fastsam_x,sam2_small,4648,0.5862198068953922,0.26952327171599527,0.0,True
fastsam_x,sam2_large,4648,0.5862198068953922,0.3017867812546632,0.0,True
fastsam_x,sam_vit_h,4648,0.5862198068953922,0.4376451208188135,1.7169395504285165e-275,True
fastsam_x,sam_vit_l,4648,0.5862198068953922,0.44397126573672435,4.45889169563557e-258,True
fastsam_s,sam_vit_h,4648,0.5772965324185215,0.4376451208188135,5.490377359266177e-241,True
sam2_small,sam_vit_l,4648,0.26952327171599527,0.44397126573672435,2.487453900724648e-240,True
fastsam_s,sam_vit_l,4648,0.5772965324185215,0.44397126573672435,1.1217475494940383e-231,True
sam2_small,sam_vit_h,4648,0.26952327171599527,0.4376451208188135,3.7116123515268005e-222,True
sam2_base_plus,sam_vit_l,4648,0.29567284863590637,0.44397126573672435,2.5822799973897437e-184,True
sam2_large,sam_vit_l,4648,0.3017867812546632,0.44397126573672435,1.267010156881253e-167,True
sam2_base_plus,sam_vit_h,4648,0.29567284863590637,0.4376451208188135,1.032133383419538e-165,True
sam2_small,sam_vit_b,4648,0.26952327171599527,0.406801996983048,9.417185734706455e-155,True
sam2_large,sam_vit_h,4648,0.3017867812546632,0.4376451208188135,1.6468555786040534e-152,True
sam2_base_plus,sam_vit_b,4648,0.29567284863590637,0.406801996983048,3.3339433234803156e-100,True
sam2_large,sam_vit_b,4648,0.3017867812546632,0.406801996983048,5.18675630459106e-91,True
sam_vit_b,sam_vit_l,4648,0.406801996983048,0.44397126573672435,5.951942496585842e-29,True
sam2_large,sam2_small,4648,0.3017867812546632,0.26952327171599527,1.743551284426567e-21,True
sam_vit_b,sam_vit_h,4648,0.406801996983048,0.4376451208188135,1.780383460553058e-20,True
sam2_base_plus,sam2_small,4648,0.29567284863590637,0.26952327171599527,1.8482119598859815e-11,True
fastsam_s,fastsam_x,4648,0.5772965324185215,0.5862198068953922,2.7843352924320514e-09,True
sam2_base_plus,sam2_large,4648,0.29567284863590637,0.3017867812546632,0.002890612375282943,True
sam_vit_h,sam_vit_l,4648,0.4376451208188135,0.44397126573672435,0.3195399562558835,False
